brand_name,product_name,yt_username,overall_videos_viewcount_of_channel,channels_subscriber,first_five_avg_video_of_channel,engagement_rate_of_channel,video_views,video_duration,category,video_type,video_cost
mStock,mStock Trading App,@sanjeevsinghania1940,3773789,33500,218,0.7,1214,00:25:48,Finance,Integrated,4000
mStock,mStock Trading App,@theharshdalal,5699665,68900,1826,2.6,3040,00:15:34,Finance,Dedicated,10000
mStock,mStock Trading App,@punjiguide,1583450,16100,2987,18.6,2386,00:08:54,Finance,Integrated,1500
mStock,mStock Trading App,@stock4retail,73289194,776000,34973,4.5,61308,00:15:49,Finance,Integrated,9000
mStock,mStock Trading App,@stockgupshup,642873,10500,1164,11.1,1313,00:09:46,Finance,Integrated,3000
mStock,mStock Trading App,@spvadha,2844594,37300,776,2.1,1679,02:12:01,Finance,Integrated,2000
mStock,mStock Trading App,@investwiddeepak,5850721,67200,13958,20.8,20051,00:13:53,Finance,Integrated,12000
mStock,mStock Trading App,@ankitjain05,8370906,68600,3357,4.9,5820,00:13:53,Finance,Dedicated,15000
mStock,mStock Trading App,@viveksinghrana51,21449259,177000,3027,1.7,1357,00:14:40,Finance,Dedicated,4500
mStock,mStock Trading App,@shrija,1927438,52300,15906,30.4,11827,00:07:33,Finance,Dedicated,10000
mStock,mStock Trading App,@knowledgejazz,33765605,244000,10681,4.4,22200,00:09:40,Finance,Dedicated,35000
mStock,mStock Trading App,@bazarkepandit,61303135,368000,3317,0.9,1814,00:05:21,Finance,Dedicated,35000
mStock,mStock Trading App,@trade2day,1766087,26000,650,2.5,2778,00:08:01,Finance,Dedicated,7000
mStock,mStock Trading App,@stockburnerofficial,126764307,732000,85395,11.7,64194,00:13:39,Finance,Integrated,100000
mStock,mStock Trading App,@hitechsharmaji2539,1612253,112000,17431,15.6,16443,00:07:26,Finance,Integrated,6000
mStock,mStock Trading App,@chartwithtrade,1763326,26400,641,2.4,1227,00:07:05,Finance,Integrated,2000
mStock,mStock Trading App,@pravinkhetan,15353187,355000,1741,0.5,6639,00:18:59,Finance,Dedicated,40000
mStock,mStock Trading App,@missionmarketchannel,29256205,126000,11036,8.8,3796,00:13:10,Finance,Dedicated,7500
mStock,mStock Trading App,@shubh_kadam__,2636947,43400,1281,3.0,3055,00:18:58,Finance,Dedicated,7000
mStock,mStock Trading App,@chargingpointhindi,29134952,237000,18856,8.0,3264,00:06:23,Finance,Dedicated,15000
mStock,mStock Trading App,@moneytalkswithpayal,6548590,79000,1255,1.6,4500,00:15:21,Finance,Dedicated,13000
